,id95AE_PPG_A13_CAL
1736497170.33478,1388.152388345635
1736497170.33673,1382.1190789350833
1736497170.33868,1376.042066830366
1736497170.3406398,1369.815776596094
1736497170.34259,1363.4256479087087
1736497170.34454,1356.7749305955315
1736497170.3465,1349.8562624470983
1736497170.34845,1342.831014849303
1736497170.3504,1335.7582906234877
1736497170.35236,1328.6866420149524
1736497170.35431,1321.669384885498
1736497170.35626,1314.5832068349703
1736497170.3582199,1307.3030502089296
1736497170.36017,1299.8194110518289
1736497170.3621202,1292.0914940833256
1736497170.3640702,1284.1687594100135
1736497170.36603,1276.0580229420927
1736497170.36798,1267.8882179799762
1736497170.36993,1259.6589643631999
1736497170.3718898,1251.3632728781179
1736497170.37384,1243.1173336769261
1736497170.37579,1234.9154262048505
1736497170.37775,1226.741199376168
1736497170.3797,1218.695949815925
1736497170.38165,1210.758289882841
1736497170.38361,1202.9084271598583
1736497170.38556,1195.2511303587949
1736497170.38751,1187.7733802458936
1736497170.3894699,1180.4667788269333
1736497170.39142,1173.4305303456033
1736497170.3933702,1166.637586735691
1736497170.3953202,1160.090120752011
1736497170.39728,1153.756639522477
1736497170.39923,1147.7026746250601
1736497170.40118,1141.9227610322105
1736497170.4031398,1136.4332953711669
1736497170.40509,1131.331819646864
1736497170.40704,1126.6308265727137
1736497170.409,1122.3032402383053
1736497170.41095,1118.356322841461
1736497170.4129,1114.7312368008497
1736497170.41486,1111.3753390990585
1736497170.41681,1108.2880837411565
1736497170.41876,1105.4179147625143
1736497170.4207199,1102.7180771364174
1736497170.42267,1100.1815310507707
1736497170.4246202,1097.7585706899458
1736497170.4265702,1095.4131494715432
1736497170.42853,1093.0967964130339
1736497170.43048,1090.7996607177988
1736497170.43243,1088.5237799592508
1736497170.4343898,1086.302785964076
1736497170.43634,1084.203796574283
1736497170.43829,1082.2554115834073
1736497170.44025,1080.4194635285517
1736497170.4422,1078.6397509598876
1736497170.44415,1076.8318595486403
1736497170.44611,1074.9199171641028
1736497170.44806,1072.968361046325
1736497170.45001,1071.0853123490806
1736497170.4519699,1069.381803787807
1736497170.45392,1067.9824943604465
1736497170.4558702,1066.8442597679216
1736497170.4578202,1065.8398873257152
1736497170.45978,1064.8348524718933
1736497170.46173,1063.7214663639204
1736497170.46368,1062.5221993201278
1736497170.4656398,1061.354761446778
1736497170.46759,1060.3561617558682
1736497170.46954,1059.635120731032
1736497170.4715,1059.1779678959285
1736497170.47345,1058.893391717661
1736497170.4754,1058.6815578693302
1736497170.47736,1058.4515161040497
1736497170.47931,1058.2041312998942
1736497170.48126,1057.9949966024335
1736497170.4832199,1057.8815435751399
1736497170.48517,1057.923437176914
1736497170.4871202,1058.1857848909294
1736497170.4890702,1058.739497165348
1736497170.49103,1059.661274185487
1736497170.49298,1061.0034886873127
1736497170.49493,1062.7129378827583
1736497170.4968898,1064.6645740774106
1736497170.49884,1066.702068525657
1736497170.50079,1068.7071208640798
1736497170.50275,1070.6771631124454
1736497170.5047,1072.6560436720074
1736497170.50665,1074.7182402325486
1736497170.50861,1076.9311527069733
1736497170.51056,1079.2208965006066
1736497170.51251,1081.4769191683165
1736497170.5144699,1083.586465692099
1736497170.51642,1085.4151747604476
1736497170.5183702,1086.9806087485197
1736497170.5203202,1088.3677704675038
1736497170.52228,1089.67007047518
1736497170.52423,1090.9534017139515
1736497170.52618,1092.2031254152876
1736497170.5281398,1093.3369795963297
1736497170.53009,1094.254727055884
1736497170.53204,1094.8774200951736
1736497170.534,1095.1681449689
1736497170.53595,1095.117560129054
1736497170.5379,1094.722098281326
1736497170.53986,1093.9735820615795
1736497170.54181,1092.9049835364408
1736497170.54376,1091.5575074643261
1736497170.5457199,1089.9671694892686
1736497170.54767,1088.197111077755
1736497170.5496202,1086.3185435185583
1736497170.5515702,1084.4318026280719
1736497170.55353,1082.6283092620831
1736497170.55548,1081.0171337529762
1736497170.55743,1079.56398158022
1736497170.5593898,1078.1601622704575
1736497170.56134,1076.7160343795326
1736497170.56329,1075.1349628322412
1736497170.56525,1073.4769006173324
1736497170.5672,1071.9322863410378
1736497170.56915,1070.6679252126974
1736497170.57111,1069.8518988496376
1736497170.57306,1069.6132243252707
1736497170.57501,1070.033182627356
1736497170.5769699,1071.205807422891
1736497170.57892,1073.2031644822223
1736497170.5808702,1076.07953994028
1736497170.5828202,1079.862037426001
1736497170.58478,1084.6044017954944
1736497170.58673,1090.2956955948396
1736497170.58868,1097.100253231928
1736497170.5906398,1105.2763875059275
1736497170.59259,1114.9598360484558
1736497170.59454,1126.3905726609726
1736497170.5965,1139.7243440229681
1736497170.59845,1154.8311525647953
1736497170.6004,1171.7744742636814
1736497170.60236,1190.6589355121125
1736497170.60431,1211.3171948767385
1736497170.60626,1233.8810824438146
1736497170.6082199,1258.518764710606
1736497170.61017,1285.0195584131466
1736497170.6121202,1313.4747078176263
1736497170.6140702,1343.803656824965
1736497170.61603,1376.1008869991692
1736497170.61798,1409.9686369301942
1736497170.61993,1445.4774500536732
1736497170.6218898,1482.7235523191214
1736497170.62384,1521.2463897786977
1736497170.62579,1561.124826992156
1736497170.62775,1602.4756635991
1736497170.6297,1644.786660979323
1736497170.63165,1688.161626887003
1736497170.63361,1732.725656311632
1736497170.63556,1777.8522552591564
1736497170.63751,1823.5530461702826
1736497170.6394699,1869.8450372970797
1736497170.64142,1916.047074037396
1736497170.6433702,1962.1278099171157
1736497170.6453202,2007.776542245208
1736497170.64728,2052.9217885229564
1736497170.64923,2096.8176403034745
1736497170.65118,2139.4656352054512
1736497170.6531398,2180.888263026494
1736497170.65509,2220.4968669343275
1736497170.65704,2258.3174886445768
1736497170.659,2294.413899627452
1736497170.66095,2328.348002214346
1736497170.6629,2360.2276690705835
1736497170.66486,2390.1168169858015
1736497170.66681,2417.552839892742
1736497170.66876,2442.489043130073
1736497170.6707199,2464.823904924933
1736497170.67267,2484.139315896696
1736497170.6746202,2500.4980305810695
1736497170.6765702,2513.9294747070617
1736497170.67853,2524.5164994278784
1736497170.68048,2532.1798043280232
1736497170.68243,2536.8983688017174
1736497170.6843898,2538.520143257667
1736497170.68634,2536.874508423843
1736497170.68829,2531.8428164671673
1736497170.69025,2523.4621487311247
1736497170.6922,2512.0508983699997
1736497170.69415,2497.811776982066
1736497170.69611,2480.8823574467287
1736497170.69806,2461.5939021449617
1736497170.70001,2439.9760110889656
1736497170.7019699,2416.0125588427723
1736497170.70392,2390.056033831698
1736497170.7058702,2362.152504790297
1736497170.7078202,2332.5060447139103
1736497170.70978,2301.1512474710617
1736497170.71173,2268.5965326098813
1736497170.71368,2234.847523776471
1736497170.7156398,2199.861381630147
1736497170.71759,2164.116919830765
1736497170.71954,2127.5792422919644
1736497170.7215,2090.1190865477797
1736497170.72345,2052.1310925432113
1736497170.7254,2013.450333830831
1736497170.72736,1973.9025146194303
1736497170.72931,1934.0326606487652
1736497170.73126,1893.8539341061467
1736497170.7332199,1853.3793828897115
1736497170.73517,1813.2202607717147
1736497170.7371202,1773.2774031319243
1736497170.7390702,1733.6024277545719
1736497170.74103,1694.034579299861
1736497170.74298,1655.0163496958407
1736497170.74493,1616.480883499175
1736497170.7468898,1578.4271537579814
1736497170.74884,1541.4188732891482
1736497170.75079,1505.450546883021
1736497170.75275,1470.3933367808693
1736497170.7547,1436.5591326444323
1736497170.75665,1403.7311892299874
1736497170.75861,1371.7134344880496
1736497170.76056,1340.8490472089939
1736497170.76251,1311.0215295945122
1736497170.7644699,1282.1397580280782
1736497170.76642,1254.5405867301
1736497170.7683702,1228.1033035435983
1736497170.7703202,1202.8508783242237
1736497170.77228,1178.678746023799
1736497170.77423,1155.8420984494005
1736497170.77618,1134.203769894522
1736497170.7781398,1113.63215762124
1736497170.78009,1094.297854805835
1736497170.78204,1076.065033529121
1736497170.784,1058.7779579951246
1736497170.78595,1042.5163407257216
1736497170.7879,1027.0986943233358
1736497170.78986,1012.3663979414964
1736497170.79181,998.4754886849859
1736497170.79376,985.4141135414922
1736497170.7957199,973.1899860708887
1736497170.79767,961.9830343005561
1736497170.7996202,951.6824364738109
1736497170.8015702,942.1753754443235
1736497170.80353,933.301214331262
1736497170.80548,925.0431962800463
1736497170.80743,917.3926374746218
1736497170.8093898,910.4482757672641
1736497170.81134,904.412250154618
